artist,group,song,type,performance,year,recording,link,date_uploaded,date_accessed,transcription
davyknowles,10_nonAA_nonUS,outside_woman_blues,cover,live,2017,live_at_lancaster_roots_and_blues_festival,https://www.youtube.com/watch?v=pRWtLKcHAR0,2017-03-13,2023-12-15,
davyknowles,10_nonAA_nonUS,what_in_the_world,cover,live,2016,live_at_the_world_cafe,https://www.youtube.com/watch?v=keJ5gKf1BeQ,2016-11-28,2023-12-15,
davyknowles,10_nonAA_nonUS,aint_much_of_nothing,original,live,2020,live_at_rams_head,https://www.youtube.com/watch?v=uCtb2YbRhmc,2020-02-01,2023-12-15,
davyknowles,10_nonAA_nonUS,falling_apart,original,live,2016,live_at_the_iridium,https://www.youtube.com/watch?v=adr3mTazsHk,2016-08-07,2023-12-15,
davyknowles,10_nonAA_nonUS,never_gonna_be_the_same,original,live,2016,live_at_the_iridium,https://www.youtube.com/watch?v=pEKVHiiWlNQ,2016-08-07,2023-12-15,
davyknowles,10_nonAA_nonUS,aint_no_grave,cover,studio,2015,the_outsider,https://www.youtube.com/watch?v=iR31rLxr5SA,2021-09-29,2023-12-15,done
davyknowles,10_nonAA_nonUS,outside_woman_blues,cover,studio,2018,roll_away,https://www.youtube.com/watch?v=1fX6qgCpMUs,2019-08-29,2023-12-15,done
davyknowles,10_nonAA_nonUS,what_in_the_world,cover,studio,2016,three_miles_from_avalon,https://www.youtube.com/watch?v=xo40LeLBewi,2017-01-20,2023-12-15,done
davyknowles,10_nonAA_nonUS,aint_much_of_nothing,original,studio,2016,three_miles_from_avalon,https://www.youtube.com/watch?v=6Y_BEVzW4kE,2019-04-09,2023-12-15,done
davyknowles,10_nonAA_nonUS,falling_apart,original,studio,2016,three_miles_from_avalon,https://www.youtube.com/watch?v=YOXSYEjb5O4,2019-04-09,2023-12-15,done
davyknowles,10_nonAA_nonUS,never_gonna_be_the_same,original,studio,2016,three_miles_from_avalon,https://www.youtube.com/watch?v=pyrQsMKoiAY,2019-04-09,2023-12-15,done
joanneshawtaylor,10_nonAA_nonUS,cant_you_see_what_youre_doing_to_me,cover,live,2022,blues_from_the_heart_live,https://www.youtube.com/watch?v=PXgBj3nT4Tg,2022-05-18,2023-12-15,
joanneshawtaylor,10_nonAA_nonUS,stop_messin_around,cover,live,2022,blues_from_the_heart_live,https://www.youtube.com/watch?v=7M-glXqF39M,2022-06-09,2023-12-15,
joanneshawtaylor,10_nonAA_nonUS,summertime,cover,live,2022,blues_from_the_heart_live,https://www.youtube.com/watch?v=nVdnzD1wCAY,2022-06-10,2023-12-15,
joanneshawtaylor,10_nonAA_nonUS,dyin_to_know,original,live,2022,blues_from_the_heart_live,https://www.youtube.com/watch?v=8eAPK1Ugp8E,2022-04-20,2023-12-15,
joanneshawtaylor,10_nonAA_nonUS,ive_been_loving_you_too_long,original,live,2022,blues_from_the_heart_live,https://www.youtube.com/watch?v=vf4DKorRxgi,2022-06-15,2023-12-15,
joanneshawtaylor,10_nonAA_nonUS,just_another_word,original,live,2022,blues_from_the_heart_live,https://www.youtube.com/watch?v=XW6oep7eili,2022-08-12,2023-12-15,
joanneshawtaylor,10_nonAA_nonUS,cant_you_see_what_youre_doing_to_me,cover,studio,2021,the_blues_album,https://www.youtube.com/watch?v=GQsrMddQNVM,2021-09-23,2023-12-15,done
joanneshawtaylor,10_nonAA_nonUS,stop_messin_around,cover,studio,2021,the_blues_album,https://www.youtube.com/watch?v=suUTCqEEF38,2021-09-23,2023-12-15,done
joanneshawtaylor,10_nonAA_nonUS,summertime,cover,studio,2016,wild_heart,https://www.youtube.com/watch?v=QKkRvGJXQYg,2018-06-07,2023-12-15,done
joanneshawtaylor,10_nonAA_nonUS,dyin_to_know,original,studio,2016,wild_heart,https://www.youtube.com/watch?v=ijXB2z-Y04Y,2016-08-22,2023-12-15,done
