,word,previous_word,next_word,artist,song_type,song,aae_feature,time,social_group
23929,I,, still,danpatlansky,cover,bright_lights_big_city,ai monophthongization,2010s,nonAA_nonUS
9926,want,t , me,albertcollins,cover,snatchin_it_back,post-consonantal t,1980s,AA
18417,working ,,,jjcale,cover,got_my_mojo_working,ing ultimas,1980s,nonAA_US
22493,forward,steps , ((background,kirkfletcher,original,two_steps_forward,post-consonantal d,2010s,AA
15828,ain't,, it,rorygallagher,original,keychain,auxiliary verb,1980s,nonAA_nonUS
13713,ever,ve , seen,ericclapton,original,the_shape_youre_in,post-vocalic r,1980s,nonAA_nonUS
175,your,all , loneliness,albertking,cover,ill_play_the_blues_for_you,post-vocalic r,1960s,AA
11616,my,know , stuff,kokotaylor,original,im_a_woman,ai monophthongization,1980s,AA
22436,forward,steps , ten,kirkfletcher,original,two_steps_forward,post-consonantal d,2010s,AA
11103,time,good , roll,kokotaylor,cover,let_the_good_times_roll,ai monophthongization,1980s,AA
26342,is,ash , the,tinylegstim,original,cant_win_them_all,zero copula,2010s,nonAA_nonUS
11424,hard ,,,kokotaylor,original,come_to_mama,post-consonantal d,1980s,AA
13388,talking,, about,ericclapton,cover,hard_times,ing ultimas,1980s,nonAA_nonUS
20344,morning ,,,ericgales,cover,me_and_my_guitar,ing ultimas,2010s,AA
29402,tired,so , of,philipsayce,original,on_the_road_again,ai monophthongization,2010s,nonAA_US
413,your,off , throne,albertking,original,oh_pretty_woman,post-vocalic r,1960s,AA
5987,tied,get , up,tenyearsafter,original,spider_in_my_web,ai monophthongization,1960s,nonAA_nonUS
24900,ain't,, much,davyknowles,original,aint_much_of_nothing,post-consonantal t,2010s,nonAA_nonUS
13818,you're,shape , in,ericclapton,original,the_shape_youre_in,zero copula,1980s,nonAA_nonUS
13597,why,, can,ericclapton,original,old_love,ai monophthongization,1980s,nonAA_nonUS
18327,going,m , back,jjcale,cover,going_down,ing ultimas,1980s,nonAA_US
24413,ain't,, no,davyknowles,cover,aint_no_grave,auxiliary verb,2010s,nonAA_nonUS
25571,old,that , black,joanneshawtaylor,original,dyin_to_know,post-consonantal d,2010s,nonAA_nonUS
15682,something,s , I,rorygallagher,original,bought_and_sold,ing ultimas,1980s,nonAA_nonUS
2033,her ,,,jimihendrix,cover,hey_joe,post-vocalic r,1960s,AA
21343,time,as , went,kingfish,cover,empty_promises,ai monophthongization,2010s,AA
8012,just,honey , one,janisjoplin,original,kozmic_blues,post-consonantal t,1960s,nonAA_US
3551,and,, I,cream,original,politician,post-consonantal d,1960s,nonAA_nonUS
25473,looking ,,,joanneshawtaylor,cover,summertime,ing ultimas,2010s,nonAA_nonUS
27044,begging,, please,allyvenable,original,any_fool_should_know,ing ultimas,2010s,nonAA_US
28759,night ,,,philipsayce,cover,backwater_blues,ai monophthongization,2010s,nonAA_US
5960,fly ,,,tenyearsafter,original,spider_in_my_web,ai monophthongization,1960s,nonAA_nonUS
7214,by,all , myself,cannedheat,original,future_blues,ai monophthongization,1960s,nonAA_US
18011,ain't,, that,fabulousthunderbirds,original,tuff_enough,auxiliary verb,1980s,nonAA_US
23882,my,heal , blues,daniwilde,original,heal_my_blues,ai monophthongization,2010s,nonAA_nonUS
7942,and,on , try,janisjoplin,original,i_need_a_man_to_love,post-consonantal d,1960s,nonAA_US
28200,line ,,,mattschofield,cover,stranger_blues,ai monophthongization,2010s,nonAA_US
3658,I,,'ll,cream,original,sunshine_of_your_love,ai monophthongization,1960s,nonAA_nonUS
9991,I,, had,albertcollins,original,if_trouble_was_money,ai monophthongization,1980s,AA
27501,hour,four , blues,joebonamassa,cover,twenty_four_hour_blues,post-vocalic r,2010s,nonAA_US
27214,I,and , lost,allyvenable,original,played_the_game,ai monophthongization,2010s,nonAA_US
16259,your,if , going,thebluesband,cover,twenty_nine_ways,post-vocalic r,1980s,nonAA_nonUS
19707,standing,m , out,stevierayvaughan,cover,texas_flood,ing ultimas,1980s,nonAA_US
27513,four,these , gray,joebonamassa,cover,twenty_four_hour_blues,post-vocalic r,2010s,nonAA_US
16913,side ,,,bonnieraitt,cover,green_lights,ai monophthongization,1980s,nonAA_US
5191,worthwhile ,,,savoybrown,original,a_little_more_wine,ai monophthongization,1960s,nonAA_nonUS
15155,I,,'m,johnmayall,original,john_lee_boogie,ai monophthongization,1980s,nonAA_nonUS
2957,I,, got,muddywaters,original,i_got_my_brand_on_you,ai monophthongization,1960s,AA
398,matter,no , what,albertking,original,oh_pretty_woman,post-vocalic r,1960s,AA
1675,tore,m , down,freddieking,original,im_tore_down,post-vocalic r,1960s,AA
28220,satisfied ,,,mattschofield,cover,woman_across_the_river,ai monophthongization,2010s,nonAA_US
26314,and,blood , it,tinylegstim,original,cant_win_them_all,post-consonantal d,2010s,nonAA_nonUS
5995,you,, sure,tenyearsafter,original,spider_in_my_web,post-vocalic r,1960s,nonAA_nonUS
7561,your,in , heart,janisjoplin,cover,piece_of_my_heart,post-vocalic r,1960s,nonAA_US
29586,dry ,,,samanthafish,cover,crow_jane,ai monophthongization,2010s,nonAA_US
5753,I,,'m,tenyearsafter,cover,spoonful,ai monophthongization,1960s,nonAA_nonUS
29262,mind,your ,'s,philipsayce,original,morning_star,ai monophthongization,2010s,nonAA_US
3791,goodbye,dressing , windows,cream,original,white_room,ai monophthongization,1960s,nonAA_nonUS
4140,I,woman , can,fleetwoodmac,original,black_magic_woman,ai monophthongization,1960s,nonAA_nonUS
